[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15964, awake 13831, broken 71409
tick 180/600, fragments 16089, awake 9545, broken 71594
tick 240/600, fragments 16880, awake 10712, broken 73371
tick 300/600, fragments 17634, awake 10115, broken 74522
tick 360/600, fragments 17828, awake 8475, broken 74775
tick 420/600, fragments 18273, awake 8470, broken 75658
tick 480/600, fragments 18608, awake 7467, broken 76132
tick 540/600, fragments 18862, awake 7005, broken 76434
report: /root/workspace/physx-2/out/vibe-committed-changes-20260908/repeat-and-audit/baseline2/report.md
