[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 16008, awake 13856, broken 71533
tick 180/600, fragments 16159, awake 9766, broken 71771
tick 240/600, fragments 17030, awake 11068, broken 73654
tick 300/600, fragments 17758, awake 10355, broken 74729
tick 360/600, fragments 17907, awake 8561, broken 74907
tick 420/600, fragments 18315, awake 8624, broken 75686
tick 480/600, fragments 18580, awake 7456, broken 76090
tick 540/600, fragments 18781, awake 6845, broken 76306
report: /root/workspace/physx-2/out/vibe-committed-changes-20260908/repeat-and-audit/candidate2/report.md
