[embedded-destruction] chunks=113664 bonds=229376 initial_clusters=256 direct_gpu=0 native_sleep=1 correction_limit=1 max_stress_passes=2 iterations=8192
tick 0/600, fragments 0, awake 0, broken 0
tick 60/600, fragments 11483, awake 11221, broken 62080
tick 120/600, fragments 15936, awake 13876, broken 71362
tick 180/600, fragments 15985, awake 9623, broken 71448
tick 240/600, fragments 16812, awake 10515, broken 73280
tick 300/600, fragments 17552, awake 10168, broken 74383
tick 360/600, fragments 17706, awake 8642, broken 74583
tick 420/600, fragments 18196, awake 8173, broken 75445
tick 480/600, fragments 18477, awake 7453, broken 75901
tick 540/600, fragments 18689, awake 6559, broken 76158
report: /root/workspace/physx-2/out/vibe-coarse-assembly-20260908/physical-polynomial-repeat/candidate1/report.md
