run,step,simulation_seconds,physics_step_ms,stress_solve_ms,frame_host_ms,bodies,awake_bodies,splits_total,contacts_total,resim_passes,correction_status,contacts_frame,projectiles_active,bonds_broken,stress_iterations,stress_converged,observation_ms,gpu_render_submit_and_export_ms,logical_clusters,native_dynamic_bodies,native_kinematic_bodies,active_dynamic_bodies,active_kinematic_bodies,contact_pairs,contact_pairs_with_contacts,solver_rows,stress_active_nodes,stress_active_bonds,stress_islands,graph_d2h_bytes,pre_solve_pairs,simulation_start_ns,simulation_end_ns,process_cpu_ms,complete_step_ms,command_ms,completion_ms,complete_start_ns,complete_end_ns,phase_output_start_ns,phase_output_end_ns,stress_passes,post_correction_bonds_broken,contact_reuse_fallbacks
idle-256-A-before-0,14,0.25,1.2991159999999999,0,1.5801430000000001,256,0,0,0,0,0,0,0,0,0,1,0.18325900000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338982033743,62338983335588,2.1625179999999999,1.4829840000000001,0.00012,0.18374800000000024,62338982033616,62338983516277,0,0,1,0,0
idle-256-A-before-0,15,0.26666668057441711,1.4633640000000001,0,1.744658,256,0,0,0,0,0,0,0,0,0,1,0.18402499999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338983624107,62338985090279,2.408865,1.6483270000000001,0.00015799999999999999,0.18480499999999989,62338983623950,62338985271984,0,0,1,0,0
idle-256-A-before-0,16,0.28333336114883423,1.3091870000000001,0,1.6121939999999999,256,0,0,0,0,0,0,0,0,0,1,0.199744,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338985378984,62338986691057,2.1173860000000002,1.50952,0.000156,0.20017699999999983,62338985378815,62338986888034,0,0,1,0,0
idle-256-A-before-0,17,0.30000001192092896,1.260227,0,1.551002,256,0,0,0,0,0,0,0,0,0,1,0.19112100000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338987016093,62338988279083,2.004305,1.4520900000000001,0.00025700000000000001,0.19160600000000017,62338987015917,62338988467598,0,0,1,0,0
idle-256-A-before-0,18,0.31666669249534607,1.3715029999999999,0,1.6480319999999999,256,0,0,0,0,0,0,0,0,0,1,0.174902,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338988578101,62338989952735,2.1639889999999999,1.547558,0.00016200000000000001,0.17589300000000008,62338988577935,62338990125176,0,0,1,0,0
idle-256-A-before-0,19,0.3333333432674408,1.3597429999999999,0,1.661316,256,0,0,0,0,0,0,0,0,0,1,0.19985800000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338990237006,62338991599961,2.218515,1.5607960000000001,0.00014300000000000001,0.20091000000000014,62338990236861,62338991797347,0,0,1,0,0
idle-256-A-before-0,20,0.35000002384185791,1.3516459999999999,0,1.649057,256,0,0,0,0,0,0,0,0,0,1,0.19151099999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338991909144,62338993263850,2.0761229999999999,1.5440370000000001,0.00015200000000000001,0.19223900000000027,62338991909005,62338993452699,0,0,1,0,0
idle-256-A-before-0,21,0.36666667461395264,1.478672,0,1.7774840000000001,256,0,0,0,0,0,0,0,0,0,1,0.19372200000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338993569544,62338995051430,2.3216920000000001,1.6734290000000001,0.00013899999999999999,0.19461800000000018,62338993569397,62338995242503,0,0,1,0,0
idle-256-A-before-0,22,0.38333335518836975,1.331142,0,1.6330089999999999,256,0,0,0,0,0,0,0,0,0,1,0.19491600000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338995358679,62338996693007,2.0071850000000002,1.527102,0.000147,0.19581300000000001,62338995358508,62338996885304,0,0,1,0,0
idle-256-A-before-0,23,0.40000003576278687,1.3400799999999999,0,1.659813,256,0,0,0,0,0,0,0,0,0,1,0.19872600000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338997025356,62338998368401,2.035183,1.5393760000000001,0.000166,0.19913000000000003,62338997025187,62338998564216,0,0,1,0,0
idle-256-A-before-0,24,0.41666668653488159,1.396207,0,1.8022279999999999,256,0,0,0,0,0,0,0,0,0,1,0.27478799999999998,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62338998697362,62339000097099,2.2704209999999998,1.6720170000000001,0.00013799999999999999,0.27567200000000014,62338998697202,62339000368837,0,0,1,0,0
idle-256-A-before-0,25,0.43333336710929871,1.4695320000000001,0,1.827021,256,0,0,0,0,0,0,0,0,0,1,0.246891,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339000511948,62339001984990,2.3686590000000001,1.7179549999999999,0.00023599999999999999,0.24818699999999994,62339000511700,62339002229294,0,0,1,0,0
idle-256-A-before-0,26,0.45000001788139343,1.4006259999999999,0,1.7153849999999999,256,0,0,0,0,0,0,0,0,0,1,0.208569,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339002351423,62339003755724,2.2419419999999999,1.610703,0.000183,0.20989400000000002,62339002351235,62339003961577,0,0,1,0,0
idle-256-A-before-0,27,0.46666669845581055,1.3921650000000001,0,1.746896,256,0,0,0,0,0,0,0,0,0,1,0.23222799999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339004137233,62339005533370,2.2908170000000001,1.6261140000000001,0.00026800000000000001,0.23368100000000003,62339004137045,62339005762702,0,0,1,0,0
idle-256-A-before-0,28,0.48333334922790527,1.3617919999999999,0,1.6656010000000001,256,0,0,0,0,0,0,0,0,0,1,0.209033,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339005897844,62339007263480,2.1256560000000002,1.5726899999999999,0.000144,0.21075400000000011,62339005897671,62339007470007,0,0,1,0,0
idle-256-A-before-0,29,0.5,1.338622,0,1.650603,256,0,0,0,0,0,0,0,0,0,1,0.21723600000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339007576642,62339008918807,2.0738620000000001,1.557671,0.00015699999999999999,0.21889200000000009,62339007576472,62339009133770,0,0,1,0,0
idle-256-A-before-0,30,0.5166667103767395,1.3770370000000001,0,1.7033499999999999,256,0,0,0,0,0,0,0,0,0,1,0.22811600000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339009240340,62339010620847,2.1437309999999998,1.606309,0.000154,0.22911799999999993,62339009240171,62339010846106,0,0,1,0,0
idle-256-A-before-0,31,0.53333336114883423,1.3660079999999999,0,1.6752769999999999,256,0,0,0,0,0,0,0,0,0,1,0.21046699999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339010958103,62339012327839,2.1303649999999998,1.5784469999999999,0.00017000000000000001,0.21226900000000004,62339010957919,62339012535981,0,0,1,0,0
idle-256-A-before-0,32,0.55000001192092896,1.3822140000000001,0,1.6290500000000001,256,0,0,0,0,0,0,0,0,0,1,0.13497300000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339012647787,62339014033809,2.1785939999999999,1.51932,0.000164,0.1369419999999999,62339012647610,62339014166545,0,0,1,0,0
idle-256-A-before-0,33,0.56666672229766846,1.2909649999999999,0,1.620012,256,0,0,0,0,0,0,0,0,0,1,0.22955300000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339014291400,62339015586232,1.930825,1.522243,0.00024499999999999999,0.23103300000000004,62339014291187,62339015812994,0,0,1,0,0
idle-256-A-before-0,34,0.58333337306976318,1.3906050000000001,0,1.7007080000000001,256,0,0,0,0,0,0,0,0,0,1,0.213335,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339015925726,62339017320280,2.1686740000000002,1.605785,0.00017100000000000001,0.21500900000000001,62339015925542,62339017530938,0,0,1,0,0
idle-256-A-before-0,35,0.60000002384185791,1.2759130000000001,0,1.5975919999999999,256,0,0,0,0,0,0,0,0,0,1,0.224186,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339017640906,62339018920545,1.9741580000000001,1.501851,0.000164,0.22577399999999992,62339017640729,62339019142183,0,0,1,0,0
idle-256-A-before-0,36,0.61666667461395264,1.401953,0,1.7291380000000001,256,0,0,0,0,0,0,0,0,0,1,0.229042,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339019252765,62339020658586,2.1412469999999999,1.6329830000000001,0.00017100000000000001,0.23085900000000015,62339019252582,62339020885176,0,0,1,0,0
idle-256-A-before-0,37,0.63333338499069214,1.4892510000000001,0,1.8815679999999999,256,0,0,0,0,0,0,0,0,0,1,0.26960699999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339020996304,62339022509531,2.4038490000000001,1.7806379999999999,0.00016899999999999999,0.29121799999999975,62339020996099,62339022776377,0,0,1,0,0
idle-256-A-before-0,38,0.65000003576278687,1.392584,0,1.7133039999999999,256,0,0,0,0,0,0,0,0,0,1,0.22206400000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339022892439,62339024288849,2.1468799999999999,1.61659,0.00016699999999999999,0.2238389999999999,62339022892252,62339024508465,0,0,1,0,0
idle-256-A-before-0,39,0.66666668653488159,1.394145,0,1.734631,256,0,0,0,0,0,0,0,0,0,1,0.21565899999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339024620244,62339026018233,2.2061069999999998,1.6113109999999999,0.00017699999999999999,0.21698899999999988,62339024620067,62339026230980,0,0,1,0,0
idle-256-A-before-0,40,0.68333339691162109,1.3145,0,1.648798,256,0,0,0,0,0,0,0,0,0,1,0.21848899999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339026369231,62339027687558,2.054408,1.535015,0.00022699999999999999,0.22028800000000004,62339026369014,62339027903615,0,0,1,0,0
idle-256-A-before-0,41,0.70000004768371582,1.5196289999999999,0,1.8582909999999999,256,0,0,0,0,0,0,0,0,0,1,0.23818300000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339028032323,62339029555640,2.5296069999999999,1.759088,0.00016799999999999999,0.23929100000000014,62339028032140,62339029790843,0,0,1,0,0
idle-256-A-before-0,42,0.71666669845581055,1.4108339999999999,0,1.723789,256,0,0,0,0,0,0,0,0,0,1,0.21410599999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339029905108,62339031319958,2.184793,1.6269149999999999,0.00017100000000000001,0.21591000000000005,62339029904925,62339031531455,0,0,1,0,0
idle-256-A-before-0,43,0.73333334922790527,1.3712409999999999,0,1.769031,256,0,0,0,0,0,0,0,0,0,1,0.253467,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339031643183,62339033018370,2.0885590000000001,1.626627,0.00013999999999999999,0.25524600000000008,62339031643007,62339033269276,0,0,1,0,0
idle-256-A-before-0,44,0.75000005960464478,1.3358540000000001,0,1.7259040000000001,256,0,0,0,0,0,0,0,0,0,1,0.260965,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339033426516,62339034766162,2.0560969999999998,1.5991089999999999,0.00020699999999999999,0.26304799999999973,62339033426298,62339035025005,0,0,1,0,0
idle-256-A-before-0,45,0.7666667103767395,1.4736069999999999,0,1.8115650000000001,256,0,0,0,0,0,0,0,0,0,1,0.236259,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339035166836,62339036644468,2.2513930000000002,1.7118329999999999,0.00019100000000000001,0.238035,62339035166609,62339036878041,0,0,1,0,0
idle-256-A-before-0,46,0.78333336114883423,1.4072849999999999,0,1.7425550000000001,256,0,0,0,0,0,0,0,0,0,1,0.220106,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339036992756,62339038404106,2.3526349999999998,1.6295900000000001,0.000163,0.22214200000000028,62339036992573,62339038621783,0,0,1,0,0
