run,step,complete_step_ms,command_ms,physics_step_ms,completion_ms,resim_passes,stress_passes,contacts_frame,bonds_broken,stress_iterations
idle-256-B-0,55.0,1.516345,0.000224,1.376642,0.13947900000000013,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,56.0,1.52055,0.000198,1.312573,0.20777900000000016,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,57.0,1.587634,0.000251,1.368949,0.21843400000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,58.0,1.637236,0.000434,1.409233,0.2275689999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,59.0,1.542601,0.000235,1.332262,0.21010400000000007,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,60.0,1.51682,0.000237,1.266534,0.25004899999999997,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,61.0,1.669874,0.000268,1.459685,0.20992100000000025,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,62.0,1.663868,0.000214,1.446353,0.21730099999999997,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,63.0,1.584637,0.000194,1.371354,0.21308900000000008,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,64.0,1.614583,0.000203,1.389761,0.22461900000000012,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,65.0,1.486907,0.000258,1.347839,0.13880999999999988,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,66.0,1.512456,0.000197,1.297621,0.2146380000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,67.0,1.438151,0.000195,1.282379,0.15557700000000008,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,68.0,1.555476,0.000244,1.345623,0.20960900000000016,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,69.0,1.492041,0.000194,1.270046,0.22180099999999991,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,70.0,1.582251,0.000204,1.346149,0.23589799999999994,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,71.0,1.761611,0.000247,1.484713,0.276651,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,72.0,1.852273,0.000428,1.61497,0.23687499999999995,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,73.0,1.701595,0.000348,1.472993,0.22825399999999996,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,74.0,1.599113,0.000311,1.3922,0.20660199999999995,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,75.0,1.474731,0.000191,1.265388,0.209152,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,76.0,1.593719,0.000245,1.3523,0.241174,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,77.0,1.649726,0.000451,1.428029,0.22124600000000005,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,78.0,1.592231,0.000248,1.358076,0.23390699999999987,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,79.0,1.419427,0.0002,1.218201,0.20102599999999993,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,80.0,1.526797,0.000198,1.319629,0.2069700000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,81.0,1.610176,0.000261,1.384786,0.2251289999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,82.0,1.54803,0.000198,1.34164,0.20619200000000015,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,83.0,1.631361,0.0002,1.462167,0.1689940000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,84.0,1.492972,0.00023,1.268325,0.2244170000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,85.0,1.794512,0.000198,1.568989,0.22532500000000022,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,86.0,1.689593,0.000195,1.469899,0.2194989999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,87.0,1.625052,0.000452,1.408051,0.2165490000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,88.0,1.635231,0.000267,1.414049,0.2209150000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,89.0,1.66581,0.000254,1.417871,0.24768499999999993,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,90.0,1.597366,0.000237,1.359349,0.2377800000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,91.0,1.580535,0.00019,1.376926,0.20341900000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,92.0,1.48737,0.000243,1.273838,0.21328900000000006,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,93.0,1.555895,0.000197,1.349979,0.20571899999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,94.0,1.651583,0.000194,1.434085,0.21730399999999994,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,95.0,1.554536,0.000238,1.312265,0.24203299999999994,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,96.0,1.575792,0.000243,1.371008,0.20454100000000008,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,97.0,1.572855,0.000194,1.357378,0.2152829999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,98.0,1.742707,0.000198,1.524402,0.21810700000000005,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,99.0,1.517344,0.00019,1.375702,0.14145200000000013,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,100.0,1.641165,0.000194,1.427865,0.21310600000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,101.0,1.524775,0.000196,1.334622,0.18995699999999993,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,102.0,1.387414,0.000236,1.190381,0.1967970000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,103.0,1.328566,0.000584,1.124103,0.20387899999999992,0.0,1.0,0.0,0.0,0.0
