native t=0.0 chunks=444 bonds=896 clusters=1 shots=1 broken=0 corrections=0 step=4.16ms
native t=1.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=8.06ms
native t=2.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=8.21ms
native t=3.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=6.49ms
native t=4.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=6.00ms
native t=5.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=5.98ms
native t=6.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=5.91ms
native t=7.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=6.03ms
native t=8.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=6.36ms
native t=9.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=6.33ms
