native t=0.0 chunks=444 bonds=896 clusters=1 shots=1 broken=0 corrections=0 step=3.92ms
native t=1.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=7.99ms
native t=2.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=7.99ms
native t=3.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=6.40ms
native t=4.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=5.85ms
native t=5.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=5.85ms
native t=6.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=5.65ms
native t=7.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=5.92ms
native t=8.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=6.25ms
native t=9.0 chunks=444 bonds=896 clusters=43 shots=1 broken=199 corrections=3 step=6.20ms
