native t=0.0 chunks=444 bonds=896 clusters=1 shots=1 broken=0 corrections=0 step=6.84ms
native t=1.0 chunks=444 bonds=896 clusters=41 shots=1 broken=199 corrections=2 step=8.36ms
native t=2.0 chunks=444 bonds=896 clusters=41 shots=1 broken=201 corrections=2 step=6.88ms
native t=3.0 chunks=444 bonds=896 clusters=41 shots=1 broken=201 corrections=2 step=0.71ms
native t=4.0 chunks=444 bonds=896 clusters=41 shots=1 broken=201 corrections=2 step=0.78ms
native t=5.0 chunks=444 bonds=896 clusters=41 shots=1 broken=201 corrections=2 step=1.11ms
native t=6.0 chunks=444 bonds=896 clusters=41 shots=1 broken=201 corrections=2 step=0.72ms
native t=7.0 chunks=444 bonds=896 clusters=41 shots=1 broken=201 corrections=2 step=0.70ms
native t=8.0 chunks=444 bonds=896 clusters=41 shots=1 broken=201 corrections=2 step=0.69ms
native t=9.0 chunks=444 bonds=896 clusters=41 shots=1 broken=201 corrections=2 step=0.68ms
