step,simulation_seconds,physics_step_ms,stress_solve_ms,frame_host_ms,bodies,awake_bodies,splits_total,contacts_total,resim_passes,correction_status,contacts_frame,projectiles_active,bonds_broken,stress_iterations,stress_converged,observation_ms,gpu_render_submit_and_export_ms,logical_clusters,native_dynamic_bodies,native_kinematic_bodies,active_dynamic_bodies,active_kinematic_bodies,contact_pairs,contact_pairs_with_contacts,solver_rows,stress_active_nodes,stress_active_bonds,stress_islands,graph_d2h_bytes,pre_solve_pairs,simulation_start_ns,simulation_end_ns,process_cpu_ms,complete_step_ms,command_ms,completion_ms,complete_start_ns,complete_end_ns,phase_output_start_ns,phase_output_end_ns,stress_passes,post_correction_bonds_broken,contact_reuse_fallbacks
10,0.18333333730697632,0.56979900000000006,0,3.3988160000000001,2,1,0,0,0,0,0,1,0,0,1,2.801415,0.21602099999999999,1,1,1,1,0,0,0,0,380,784,1,0,0,205068831343334,205068831914756,0.91505800000000004,0.616506,9.0000000000000006e-05,0.046616999999999909,205068831343274,205068831959700,0,0,1,0,0
11,0.20000001788139343,0.57317499999999999,0,3.1883439999999998,2,1,0,0,0,0,0,1,0,0,1,2.5892010000000001,0.20222499999999999,1,1,1,1,0,0,0,0,380,784,1,0,0,205068834746478,205068835321156,0.92041799999999996,0.62056299999999998,8.0000000000000007e-05,0.047308000000000017,205068834746418,205068835366911,0,0,1,0,0
12,0.21666668355464935,0.57623100000000005,0,3.0591949999999999,2,1,0,0,0,0,0,1,0,0,1,2.4568859999999999,0.19992099999999999,1,1,1,1,0,0,0,0,380,784,1,0,0,205068837938760,205068838516383,0.91533699999999996,0.62280800000000003,8.1000000000000004e-05,0.046495999999999982,205068837938710,205068838561447,0,0,1,0,0
13,0.23333334922790527,0.56668300000000005,0,3.8848289999999999,2,1,0,0,0,0,0,1,0,0,1,3.2829999999999999,0.217304,1,1,1,1,0,0,0,0,380,784,1,0,0,205068841007742,205068841575908,0.878243,0.63024100000000005,6.0000000000000002e-05,0.063498000000000054,205068841007692,205068841637823,0,0,1,0,0
14,0.25,0.55590300000000004,0,3.526913,2,1,0,0,0,0,0,1,0,0,1,2.9434290000000001,0.216833,1,1,1,1,0,0,0,0,380,784,1,0,0,205068844897941,205068845455938,0.90893599999999997,0.61055400000000004,0.0001,0.054551000000000016,205068844897881,205068845508305,0,0,1,0,0
15,0.26666668057441711,0.58005700000000004,0,3.3182459999999998,2,1,0,0,0,0,0,1,0,0,1,2.7115589999999998,0.20705499999999999,1,1,1,1,0,0,0,0,380,784,1,0,0,205068848428872,205068849010453,0.91839999999999999,0.62610299999999997,9.0000000000000006e-05,0.045955999999999886,205068848428812,205068849054835,0,0,1,0,0
16,0.28333336114883423,0.59863200000000005,0,3.444671,2,1,0,0,0,0,0,1,0,0,1,2.8201909999999999,0.41744500000000001,1,1,1,1,0,0,0,0,380,784,1,0,0,205068851751065,205068852351180,0.99764600000000003,0.64261400000000002,9.0000000000000006e-05,0.043891999999999931,205068851751005,205068852393539,0,0,1,0,0
17,0.30000001192092896,15.591862000000001,0,18.702783,17,17,15,243,1,0,243,1,106,155,1,3.0781100000000001,0.22442699999999999,16,16,1,16,1,4,0,0,368,678,4,0,132,205068855199272,205068870792657,16.743852,15.653808,8.0000000000000007e-05,0.061865999999998422,205068855199222,205068870852909,0,0,2,1,0
18,0.31666669249534607,9.1607020000000006,0,12.165255,17,17,15,473,0,0,230,1,0,188,1,2.9730940000000001,0.21973799999999999,16,16,1,16,1,4,0,0,368,678,4,0,141,205068873908397,205068883070862,9.8137270000000001,9.2205829999999995,0.00014999999999999999,0.059730999999999312,205068873908327,205068883128710,0,0,1,0,0
19,0.3333333432674408,9.2343290000000007,0,12.433833999999999,17,17,15,676,0,0,203,1,0,195,1,3.1628069999999999,0.230018,16,16,1,16,1,4,0,0,368,678,4,0,127,205068886079272,205068895315354,9.8455709999999996,9.2871769999999998,0.0001,0.052747999999999351,205068886079212,205068895366259,0,0,1,0,0
20,0.35000002384185791,8.3122950000000007,0,11.453422,17,17,15,827,0,0,151,1,0,173,1,3.112063,0.21080199999999999,16,16,1,16,1,8,0,0,368,678,4,0,126,205068898517585,205068906831613,8.8843610000000002,8.3586910000000003,0.0001,0.046295999999999893,205068898517515,205068906876116,0,0,1,0,0
21,0.36666667461395264,8.5914950000000001,0,11.931982,17,17,15,982,0,0,155,1,0,184,1,3.3087580000000001,0.57302399999999998,16,16,1,16,1,8,0,0,368,678,4,0,114,205068909975545,205068918568743,9.1270399999999992,8.6456049999999998,0.0001,0.054009999999999891,205068909975475,205068918620950,0,0,1,0,0
22,0.38333335518836975,8.4483189999999997,0,11.242369999999999,17,17,15,1144,0,0,162,1,0,182,1,2.7652190000000001,0.21133299999999999,16,16,1,16,1,9,0,0,368,678,4,0,103,205068921912967,205068930362969,8.9564660000000007,8.5012369999999997,8.0000000000000007e-05,0.052837999999999496,205068921912907,205068930414023,0,0,1,0,0
23,0.40000003576278687,8.5840809999999994,0,11.647803,17,17,15,1289,0,0,145,1,0,183,1,3.0325850000000001,0.22581999999999999,16,16,1,16,1,8,0,0,368,678,4,0,102,205068933158894,205068941744497,9.1670289999999994,8.6338629999999998,9.0000000000000006e-05,0.049692000000000291,205068933158834,205068941792587,0,0,1,0,0
24,0.41666668653488159,8.455311,0,11.451549,17,17,15,1415,0,0,126,1,0,182,1,2.9603199999999998,0.206062,16,16,1,16,1,6,0,0,368,678,4,0,100,205068944810885,205068953267609,9.0290569999999999,8.4955459999999992,8.0000000000000007e-05,0.040154999999998608,205068944810815,205068953306281,0,0,1,0,0
25,0.43333336710929871,8.4888139999999996,0,11.540765,17,17,15,1544,0,0,129,1,0,182,1,3.0215339999999999,0.241589,16,16,1,16,1,5,0,0,368,678,4,0,91,205068956284936,205068964775242,9.0065120000000007,8.554316,9.1000000000000003e-05,0.065411000000000996,205068956284865,205068964839081,0,0,1,0,0
26,0.45000001788139343,8.7457910000000005,0,11.832907000000001,17,17,15,1665,0,0,121,1,0,188,1,3.0493160000000001,0.211674,16,16,1,16,1,3,0,0,368,678,4,0,87,205068967829898,205068976577302,9.3527930000000001,8.7965450000000001,9.0000000000000006e-05,0.050663999999999376,205068967829828,205068976626293,0,0,1,0,0
27,0.46666669845581055,7.4639189999999997,0,10.360481,17,17,15,1790,0,0,125,1,0,166,1,2.8703240000000001,0.20050299999999999,16,16,1,16,1,3,0,0,368,678,4,0,75,205068979666933,205068987132395,7.9622700000000002,7.5104249999999997,9.0000000000000006e-05,0.046415999999999791,205068979666873,205068987177208,0,0,1,0,0
28,0.48333334922790527,8.2128409999999992,0,11.267868,17,17,15,1905,0,0,115,1,0,184,1,3.016966,0.22405700000000001,16,16,1,16,1,3,0,0,368,678,4,0,76,205068990031542,205068998245906,8.7611489999999996,8.2872090000000007,8.0000000000000007e-05,0.07428800000000102,205068990031472,205068998318601,0,0,1,0,0
29,0.5,18.473416,0,21.527090999999999,23,22,21,2289,1,0,384,1,35,192,1,3.023809,0.203739,22,22,1,21,1,3,0,0,366,643,8,0,236,205069001303848,205069019778787,19.610747,18.522638000000001,8.0000000000000007e-05,0.049141999999999797,205069001303788,205069019826346,0,0,2,11,0
30,0.5166667103767395,19.447946999999999,0,22.518823000000001,24,24,22,2836,1,0,547,1,1,210,1,3.038986,0.21354699999999999,23,23,1,23,1,3,0,0,365,642,8,0,343,205069022835457,205069042284937,20.592192000000001,19.510052999999999,9.0000000000000006e-05,0.062015999999999849,205069022835387,205069042345350,0,0,2,0,0
31,0.53333336114883423,8.3733690000000003,0,11.448133,24,24,22,3086,0,0,250,1,0,190,1,3.0408210000000002,0.213397,23,23,1,23,1,3,0,0,365,642,8,0,171,205069045358989,205069053733961,8.9540740000000003,8.4343629999999994,8.0000000000000007e-05,0.06091399999999858,205069045358919,205069053793161,0,0,1,0,0
32,0.55000001192092896,20.183032999999998,0,23.339037000000001,32,32,30,3735,1,0,649,1,36,229,1,3.1191360000000001,0.209229,31,31,1,31,1,9,0,0,358,606,9,0,419,205069056813043,205069076997729,21.445482999999999,20.244015999999998,8.0000000000000007e-05,0.060902999999999707,205069056812973,205069077056889,0,0,2,0,0
33,0.56666672229766846,9.7092310000000008,0,12.857661999999999,32,32,30,4107,0,0,372,1,0,230,1,3.1155590000000002,0.20542199999999999,31,31,1,31,1,9,0,0,358,606,9,0,242,205069080157991,205069089869116,10.248414,9.7624499999999994,0.00012,0.053098999999997787,205069080157911,205069089920261,0,0,1,0,0
34,0.58333337306976318,10.092423,0,13.25487,32,32,30,4482,0,0,375,1,1,227,1,3.1234139999999999,0.207536,31,31,1,31,1,10,0,0,358,605,9,0,240,205069093020172,205069103114288,10.582777999999999,10.147114999999999,9.1000000000000003e-05,0.0546009999999999,205069093020111,205069103167136,0,0,1,0,0
35,0.60000002384185791,9.6725530000000006,0,12.833897,32,32,30,4855,0,0,373,1,0,230,1,3.1267499999999999,0.205792,31,31,1,31,1,10,0,0,358,605,9,0,213,205069106279790,205069115954036,10.155417999999999,9.7367419999999996,0.0001,0.064088999999999174,205069106279720,205069116016312,0,0,1,0,0
36,0.61666667461395264,9.6602899999999998,0,12.752757000000001,32,32,30,5229,0,0,374,1,0,232,1,3.0611380000000001,0.20516100000000001,31,31,1,31,1,10,0,0,358,605,9,0,193,205069119120139,205069128782253,10.107381,9.7194199999999995,8.0000000000000007e-05,0.059049999999999159,205069119120069,205069128839379,0,0,1,0,0
37,0.63333338499069214,9.0186980000000005,0,12.219766,32,32,30,5576,0,0,347,1,0,212,1,3.1690680000000002,0.21399799999999999,31,31,1,31,1,10,0,0,358,605,9,0,185,205069131878797,205069140899219,9.5002049999999993,9.087987,8.0000000000000007e-05,0.069208999999998966,205069131878737,205069140966594,0,0,1,0,0
38,0.65000003576278687,9.3370499999999996,0,12.566369999999999,32,32,30,5892,0,0,316,1,0,224,1,3.195268,0.209119,31,31,1,31,1,9,0,0,358,605,9,0,167,205069144103242,205069153442025,9.8941759999999999,9.3936849999999996,8.0000000000000007e-05,0.056554999999999467,205069144103182,205069153496777,0,0,1,0,0
39,0.66666668653488159,9.0764150000000008,0,12.433503999999999,32,32,30,6211,0,0,319,1,0,216,1,3.3272529999999998,0.21096200000000001,31,31,1,31,1,8,0,0,358,605,9,0,161,205069156674912,205069165753181,9.5406870000000001,9.1284620000000007,0.00011,0.051937000000000566,205069156674832,205069165803184,0,0,1,0,0
40,0.68333339691162109,9.3421789999999998,0,12.550801,32,32,30,6527,0,0,316,1,0,223,1,3.1712120000000001,0.20796700000000001,31,31,1,31,1,8,0,0,358,605,9,0,156,205069169112714,205069178456566,9.8021449999999994,9.4056770000000007,8.0000000000000007e-05,0.063418000000000418,205069169112654,205069178518181,0,0,1,0,0
41,0.70000004768371582,8.8822349999999997,0,11.791399999999999,32,32,30,6838,0,0,311,1,0,211,1,2.8816639999999998,0.203268,31,31,1,31,1,8,0,0,358,605,9,0,161,205069181668224,205069190552072,9.3181729999999998,8.9410139999999991,0.0001,0.058678999999999704,205069181668154,205069190609058,0,0,1,0,0
42,0.71666669845581055,9.4220880000000005,0,12.51737,32,32,30,7171,0,0,333,1,0,227,1,3.0632419999999998,0.20710500000000001,31,31,1,31,1,8,0,0,358,605,9,0,176,205069193463291,205069202886852,9.8808919999999993,9.4827709999999996,8.0000000000000007e-05,0.06060299999999863,205069193463231,205069202945892,0,0,1,0,0
43,0.73333334922790527,9.4428660000000004,0,12.177307000000001,32,32,30,7475,0,0,304,1,0,228,1,2.7049759999999998,0.20510100000000001,31,31,1,31,1,8,0,0,358,605,9,0,165,205069205986101,205069215430580,9.944877,9.5013550000000002,8.0000000000000007e-05,0.058408999999999267,205069205986051,205069215487276,0,0,1,0,0
44,0.75000005960464478,9.6123010000000004,0,12.697584000000001,32,32,30,7759,0,0,284,1,0,231,1,3.0555379999999999,0.206343,31,31,1,31,1,6,0,0,358,605,9,0,159,205069218167546,205069227781440,10.043955,9.6691269999999996,8.0000000000000007e-05,0.056745999999998631,205069218167486,205069227836513,0,0,1,0,0
45,0.7666667103767395,8.9023219999999998,0,12.010678,32,32,30,8037,0,0,278,1,0,212,1,3.0762860000000001,0.202767,31,31,1,31,1,6,0,0,358,605,9,0,158,205069230869739,205069239773674,9.3690739999999995,8.9597479999999994,9.0000000000000006e-05,0.057335999999999387,205069230869679,205069239829307,0,0,1,0,0
46,0.78333336114883423,8.5766469999999995,0,11.638306,32,32,30,8305,0,0,268,1,0,204,1,3.028467,0.203489,31,31,1,31,1,6,0,0,358,605,9,0,152,205069242885687,205069251463866,9.0823180000000008,8.6348350000000007,9.1000000000000003e-05,0.058097000000001842,205069242885626,205069251520331,0,0,1,0,0
47,0.80000007152557373,8.8351070000000007,0,11.558427,32,32,30,8560,0,0,255,1,0,210,1,2.694747,0.20480100000000001,31,31,1,31,1,6,0,0,358,605,9,0,155,205069254529603,205069263366383,9.3599779999999999,8.8965010000000007,9.0000000000000006e-05,0.061303999999999803,205069254529543,205069263425924,0,0,1,0,0
48,0.81666672229766846,9.3113119999999991,0,12.344738,32,32,30,8822,0,0,262,1,0,223,1,3.00258,0.20746500000000001,31,31,1,31,1,6,0,0,358,605,9,0,161,205069266092098,205069275404913,9.7391330000000007,9.3700410000000005,9.0000000000000006e-05,0.058639000000001218,205069266092028,205069275461979,0,0,1,0,0
49,0.83333337306976318,8.8786179999999995,0,11.988175999999999,32,32,30,9077,0,0,255,1,0,217,1,3.0765669999999998,0.20708499999999999,31,31,1,31,1,5,0,0,358,605,9,0,159,205069278441205,205069287321516,9.3292889999999993,8.9424259999999993,0.0001,0.063708000000000098,205069278441135,205069287383421,0,0,1,0,0
50,0.85000002384185791,9.2918260000000004,0,12.333377,32,32,30,9338,0,0,261,1,0,227,1,3.0117259999999999,0.21287600000000001,31,31,1,31,1,5,0,0,358,605,9,0,149,205069290435372,205069299728991,9.742737,9.3515560000000004,0.0001,0.059630000000000294,205069290435302,205069299786718,0,0,1,0,0
51,0.86666673421859741,9.4941619999999993,0,12.604540999999999,32,32,30,9592,0,0,254,1,0,228,1,3.0796230000000002,0.205763,31,31,1,31,1,5,0,0,358,605,9,0,158,205069302773248,205069312269093,9.9578670000000002,9.5491130000000002,9.0000000000000006e-05,0.054861000000000715,205069302773188,205069312322201,0,0,1,0,0
52,0.88333338499069214,9.4418140000000008,0,12.622705,32,32,30,9838,0,0,246,1,0,230,1,3.144253,0.20705499999999999,31,31,1,31,1,3,0,0,358,605,9,0,148,205069315398417,205069324842025,9.8614560000000004,9.5000929999999997,9.0000000000000006e-05,0.058188999999998714,205069315398347,205069324898360,0,0,1,0,0
53,0.90000003576278687,9.3844879999999993,0,12.544179,32,32,30,10077,0,0,239,1,0,224,1,3.120298,0.20585300000000001,31,31,1,31,1,3,0,0,358,605,9,0,152,205069328025691,205069337411842,9.8155769999999993,9.4395000000000007,9.0000000000000006e-05,0.054922000000001248,205069328025621,205069337465011,0,0,1,0,0
54,0.91666668653488159,9.3077760000000005,0,12.522008,32,32,30,10320,0,0,243,1,0,226,1,3.1828850000000002,0.21376700000000001,31,31,1,31,1,3,0,0,358,605,9,0,148,205069340575100,205069349884729,9.7213200000000004,9.3700310000000009,0.00011,0.062145000000001005,205069340575030,205069349944921,0,0,1,0,0
55,0.93333339691162109,9.0387760000000004,0,12.068925999999999,32,32,30,10570,0,0,250,1,0,218,1,2.9989219999999999,0.21043100000000001,31,31,1,31,1,2,0,0,358,605,9,0,143,205069353101636,205069362142075,9.4636680000000002,9.0994689999999991,8.0000000000000007e-05,0.060612999999998252,205069353101576,205069362200955,0,0,1,0,0
56,0.95000004768371582,9.5155720000000006,0,12.626382,32,32,30,10826,0,0,256,1,0,231,1,3.0838909999999999,0.20525099999999999,31,31,1,31,1,2,0,0,358,605,9,0,142,205069365174871,205069374692005,9.9876369999999994,9.5724680000000006,9.1000000000000003e-05,0.056805000000000661,205069365174810,205069374747188,0,0,1,0,0
57,0.96666669845581055,9.5336949999999998,0,12.678758999999999,32,32,30,11094,0,0,268,1,0,233,1,3.1178530000000002,0.19953000000000001,31,31,1,31,1,2,0,0,358,605,9,0,141,205069377805290,205069387340548,9.9101009999999992,9.5828559999999996,9.0000000000000006e-05,0.049070999999999643,205069377805230,205069387387986,0,0,1,0,0
58,0.98333340883255005,9.1019629999999996,0,12.362591,32,32,30,11367,0,0,273,1,0,221,1,3.2254139999999998,0.20436000000000001,31,31,1,31,1,2,0,0,358,605,9,0,140,205069390488658,205069399592424,9.4808020000000006,9.1549010000000006,9.0000000000000006e-05,0.052848000000000894,205069390488578,205069399643349,0,0,1,0,0
59,1,9.0568399999999993,0,11.677719,32,32,30,11627,0,0,260,1,0,220,1,2.5959840000000001,0.19972100000000001,31,31,1,31,1,2,0,0,358,605,9,0,137,205069402858142,205069411916625,9.4646930000000005,9.1087360000000004,0.00017000000000000001,0.051726000000000383,205069402858012,205069411966628,0,0,1,0,0
60,1.0166667699813843,8.4770819999999993,0,11.714898,32,32,30,11877,0,0,250,1,0,204,1,3.2038630000000001,0.20691399999999999,31,31,1,31,1,2,0,0,358,605,9,0,137,205069414539388,205069423017843,8.8705759999999998,8.519781,9.0000000000000006e-05,0.042609000000000563,205069414539328,205069423059009,0,0,1,0,0
61,1.033333420753479,8.0278880000000008,0,11.054601,32,32,30,12138,0,0,261,1,0,190,1,2.9988429999999999,0.20037199999999999,31,31,1,31,1,2,0,0,358,605,9,0,136,205069426269354,205069434298875,8.5018969999999996,8.0752349999999993,0.0001,0.047246999999998707,205069426269284,205069434344409,0,0,1,0,0
62,1.0500000715255737,9.3747000000000007,0,12.341824000000001,32,32,30,12408,0,0,270,1,0,225,1,2.939432,0.20264699999999999,31,31,1,31,1,2,0,0,358,605,9,0,137,205069437328234,205069446704516,9.8099410000000002,9.4205649999999999,0.000111,0.04575399999999874,205069437328164,205069446748598,0,0,1,0,0
63,1.0666667222976685,8.8617170000000005,0,11.790188000000001,32,32,30,12684,0,0,276,1,0,214,1,2.9016519999999999,0.20446,31,31,1,31,1,1,0,0,358,605,9,0,136,205069449674104,205069458537364,9.2812439999999992,8.9118499999999994,9.0000000000000006e-05,0.050042999999998727,205069449674034,205069458585794,0,0,1,0,0
64,1.0833333730697632,8.8453459999999993,0,12.140339000000001,32,32,30,12968,0,0,284,1,0,210,1,3.2605390000000001,0.21327699999999999,31,31,1,31,1,1,0,0,358,605,9,0,135,205069461468340,205069470315249,9.2704419999999992,8.904776,8.0000000000000007e-05,0.059350000000000236,205069461468280,205069470372916,0,0,1,0,0
65,1.1000000238418579,9.3445140000000002,0,12.846791,32,32,30,13259,0,0,291,1,0,224,1,3.477201,0.661049,31,31,1,31,1,1,0,0,358,605,9,0,139,205069473613017,205069482959164,9.7766260000000003,9.3925330000000002,0.00011,0.047909000000000646,205069473612957,205069483005359,0,0,1,0,0
66,1.1166666746139526,9.2115969999999994,0,12.381276,32,32,30,13566,0,0,307,1,0,224,1,3.1433300000000002,0.19897000000000001,31,31,1,31,1,1,0,0,358,605,9,0,139,205069486463866,205069495677136,9.6175859999999993,9.2557179999999999,8.0000000000000007e-05,0.044040999999999997,205069486463806,205069495719434,0,0,1,0,0
67,1.1333334445953369,9.4040949999999999,0,12.617466,32,32,30,13865,0,0,299,1,0,227,1,3.1820529999999998,0.20669399999999999,31,31,1,31,1,1,0,0,358,605,9,0,140,205069498849511,205069508255158,9.8616229999999998,9.4626339999999995,9.1000000000000003e-05,0.058448000000000278,205069498849450,205069508311954,0,0,1,0,0
68,1.1500000953674316,9.1646800000000006,0,12.204948999999999,32,32,30,14176,0,0,311,1,0,221,1,3.0115959999999999,0.19880900000000001,31,31,1,31,1,1,0,0,358,605,9,0,141,205069511473077,205069520639240,9.5762110000000007,9.2134900000000002,0.0001,0.048709999999999809,205069511473017,205069520686387,0,0,1,0,0
69,1.1666667461395264,9.278791,0,12.284376999999999,32,32,30,14489,0,0,313,1,0,227,1,2.9768210000000002,0.19914999999999999,31,31,1,31,1,1,0,0,358,605,9,0,141,205069523684639,205069532965093,9.77135,9.3346560000000007,0.0001,0.055765000000000953,205069523684568,205069533019083,0,0,1,0,0
70,1.1833333969116211,9.178134,0,12.218012999999999,32,32,30,14786,0,0,297,1,0,223,1,3.0088210000000002,0.22405600000000001,31,31,1,31,1,1,0,0,358,605,9,0,140,205069535974926,205069545154573,9.6340009999999996,9.2332470000000004,9.0000000000000006e-05,0.055023000000000266,205069535974866,205069545208013,0,0,1,0,0
71,1.2000000476837158,8.3364399999999996,0,11.288435,32,32,30,15102,0,0,316,1,0,199,1,2.9258670000000002,0.208428,31,31,1,31,1,1,0,0,358,605,9,0,138,205069548197097,205069556535251,8.753425,8.3834769999999992,0.00011,0.046927000000000163,205069548197037,205069556580404,0,0,1,0,0
72,1.2166666984558105,9.3609939999999998,0,12.444504,32,32,30,15411,0,0,309,1,0,225,1,3.0531229999999998,0.196746,31,31,1,31,1,1,0,0,358,605,9,0,141,205069559489490,205069568852208,9.7862749999999998,9.3983539999999994,8.0000000000000007e-05,0.037279999999999092,205069559489420,205069568887704,0,0,1,0,0
73,1.2333333492279053,9.0335450000000002,0,12.022259,32,32,30,15730,0,0,319,1,0,220,1,2.9615629999999999,0.19975100000000001,31,31,1,31,1,1,0,0,358,605,9,0,141,205069571938182,205069580973280,9.3924990000000008,9.0850609999999996,9.0000000000000006e-05,0.051425999999999306,205069571938132,205069581023083,0,0,1,0,0
74,1.2500001192092896,9.1795570000000009,0,12.195461,32,32,30,16053,0,0,323,1,0,223,1,2.9867900000000001,0.20266700000000001,31,31,1,31,1,0,0,0,358,605,9,0,140,205069583964549,205069593145709,9.6727460000000001,9.2318639999999998,9.0000000000000006e-05,0.052216999999998848,205069583964479,205069593196233,0,0,1,0,0
75,1.2666667699813843,9.2460100000000001,0,11.927273,32,32,30,16374,0,0,321,1,0,221,1,2.6574179999999998,0.196936,31,31,1,31,1,0,0,0,358,605,9,0,135,205069596165991,205069605413414,9.7096470000000004,9.2959630000000004,8.0000000000000007e-05,0.049872999999999834,205069596165911,205069605461774,0,0,1,0,0
76,1.283333420753479,9.2107360000000007,0,12.384833,32,32,30,16690,0,0,316,1,0,224,1,3.1453950000000002,0.205071,31,31,1,31,1,0,0,0,358,605,9,0,134,205069608096971,205069617309089,9.6328589999999998,9.2502879999999994,8.0000000000000007e-05,0.039471999999998175,205069608096911,205069617347119,0,0,1,0,0
77,1.3000000715255737,8.919003,0,12.104042,32,32,30,17003,0,0,313,1,0,216,1,3.1518160000000002,0.19875999999999999,31,31,1,31,1,0,0,0,358,605,9,0,135,205069620486433,205069629407129,9.2811599999999999,8.9696479999999994,9.1000000000000003e-05,0.050553999999999988,205069620486362,205069629455889,0,0,1,0,0
78,1.3166667222976685,8.4931719999999995,0,11.599703999999999,32,32,30,17310,0,0,307,1,0,204,1,3.0790709999999999,0.21243500000000001,31,31,1,31,1,0,0,0,358,605,9,0,135,205069632594772,205069641089527,8.9506859999999993,8.5442459999999993,9.0000000000000006e-05,0.050983999999999696,205069632594702,205069641138848,0,0,1,0,0
79,1.3333333730697632,9.0807640000000003,0,12.059628999999999,32,32,30,17614,0,0,304,1,0,221,1,2.944642,0.19653499999999999,31,31,1,31,1,0,0,0,358,605,9,0,133,205069644212840,205069653295137,9.4722650000000002,9.1250859999999996,6.9999999999999994e-05,0.04425200000000018,205069644212770,205069653337776,0,0,1,0,0
80,1.3500000238418579,8.1993349999999996,0,11.331636,32,32,30,17921,0,0,307,1,0,196,1,3.102284,0.223305,31,31,1,31,1,0,0,0,358,605,9,0,131,205069656276677,205069664477596,8.5445290000000007,8.2527950000000008,0.0001,0.053360000000001406,205069656276607,205069664529292,0,0,1,0,0
